EmployeeNumber,Department,JobRole,Attrition_Prob,Risk
1,Sales,Sales Executive,0.8978562085193363,HIGH
2,Research & Development,Research Scientist,0.08297059670956443,LOW
4,Research & Development,Laboratory Technician,0.7822046593046466,HIGH
5,Research & Development,Research Scientist,0.5203847988596869,MEDIUM
7,Research & Development,Laboratory Technician,0.7433738307902079,HIGH
8,Research & Development,Laboratory Technician,0.24153304057930364,LOW
10,Research & Development,Laboratory Technician,0.4232997081388322,MEDIUM
11,Research & Development,Laboratory Technician,0.5003854932449051,MEDIUM
12,Research & Development,Manufacturing Director,0.23701495739571218,LOW
13,Research & Development,Healthcare Representative,0.14958042596262416,LOW
14,Research & Development,Laboratory Technician,0.29987915105999474,LOW
15,Research & Development,Laboratory Technician,0.5955389562489048,MEDIUM
16,Research & Development,Research Scientist,0.3881691508101158,MEDIUM
18,Research & Development,Laboratory Technician,0.42065907717269896,MEDIUM
19,Research & Development,Laboratory Technician,0.9419631461136445,HIGH
20,Research & Development,Manufacturing Director,0.39641570423826894,MEDIUM
21,Research & Development,Research Scientist,0.1922578589678931,LOW
22,Research & Development,Laboratory Technician,0.4281512446446875,MEDIUM
23,Sales,Manager,0.06180988470214121,LOW
24,Research & Development,Research Scientist,0.3711981116029174,MEDIUM
26,Research & Development,Manufacturing Director,0.02589216601297115,LOW
27,Sales,Sales Representative,0.7668061313262764,HIGH
28,Research & Development,Research Director,0.044266169250363085,LOW
30,Research & Development,Research Scientist,0.30599630046694626,MEDIUM
31,Research & Development,Research Scientist,0.35846527354157404,MEDIUM
32,Research & Development,Manager,0.0176942761474214,LOW
33,Research & Development,Research Scientist,0.9224466623826414,HIGH
35,Sales,Sales Executive,0.21889564100609468,LOW
36,Research & Development,Healthcare Representative,0.01986883625713242,LOW
38,Sales,Manager,0.3739971255283272,MEDIUM
39,Research & Development,Laboratory Technician,0.4022518331976649,MEDIUM
40,Research & Development,Healthcare Representative,0.053368579268121566,LOW
41,Research & Development,Laboratory Technician,0.27289095180758055,LOW
42,Sales,Sales Representative,0.16633591917253315,LOW
45,Research & Development,Research Scientist,0.6507450143695411,HIGH
46,Research & Development,Research Scientist,0.014450030477724326,LOW
47,Sales,Sales Representative,0.916099493709037,HIGH
49,Sales,Sales Representative,0.45450282074603354,MEDIUM
51,Research & Development,Research Scientist,0.830274632219069,HIGH
52,Sales,Sales Executive,0.20407971392921725,LOW
53,Research & Development,Laboratory Technician,0.18414670742456402,LOW
54,Research & Development,Laboratory Technician,0.32500442875367574,MEDIUM
55,Research & Development,Laboratory Technician,0.9544600624374836,HIGH
56,Sales,Sales Executive,0.2724221641113258,LOW
57,Research & Development,Laboratory Technician,0.23666876862235783,LOW
58,Research & Development,Research Director,0.4027598330142041,MEDIUM
60,Sales,Sales Executive,0.3693658215617285,MEDIUM
61,Research & Development,Research Scientist,0.6184796618955363,HIGH
62,Sales,Sales Executive,0.6073772235284116,HIGH
63,Research & Development,Laboratory Technician,0.1584863571608067,LOW
64,Research & Development,Laboratory Technician,0.914050895197021,HIGH
65,Research & Development,Laboratory Technician,0.8785495549751635,HIGH
68,Sales,Sales Executive,0.8329831550347766,HIGH
70,Research & Development,Healthcare Representative,0.39936869574846523,MEDIUM
72,Sales,Sales Executive,0.9479507081804807,HIGH
73,Research & Development,Research Director,0.2844918088032638,LOW
74,Sales,Sales Executive,0.46692560117924997,MEDIUM
75,Research & Development,Laboratory Technician,0.8756554991599889,HIGH
76,Research & Development,Laboratory Technician,0.09992692231893134,LOW
77,Research & Development,Manufacturing Director,0.05805208408684822,LOW
78,Research & Development,Manufacturing Director,0.3400639423224953,MEDIUM
79,Research & Development,Laboratory Technician,0.7181926329575946,HIGH
80,Research & Development,Research Director,0.6926077078344749,HIGH
81,Sales,Sales Executive,0.540278857172024,MEDIUM
83,Research & Development,Healthcare Representative,0.07972595908662097,LOW
84,Research & Development,Manager,0.04508823621413176,LOW
85,Research & Development,Manufacturing Director,0.44276449045748323,MEDIUM
86,Research & Development,Research Scientist,0.07660648374957019,LOW
88,Research & Development,Research Scientist,0.5100407474874514,MEDIUM
90,Research & Development,Research Scientist,0.655555496948874,HIGH
91,Sales,Sales Executive,0.5196702849112237,MEDIUM
94,Research & Development,Research Scientist,0.042351409231936164,LOW
