EmployeeNumber,Department,JobRole,Attrition_Prob,Risk,ONETRole,SkillGap,SkillGapCount,Engagement,Recommendation
1,Sales,Sales Executive,0.8978562085193363,HIGH,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9,,Upskill in Active Learning
2,Research & Development,Research Scientist,0.08297059670956443,LOW,Biological Scientists,,0,,No immediate recommendation
4,Research & Development,Laboratory Technician,0.7822046593046466,HIGH,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
5,Research & Development,Research Scientist,0.5203847988596869,MEDIUM,Biological Scientists,,0,,No immediate recommendation
7,Research & Development,Laboratory Technician,0.7433738307902079,HIGH,Biological Technicians,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",7,,Upskill in Active Learning
8,Research & Development,Laboratory Technician,0.24153304057930364,LOW,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
10,Research & Development,Laboratory Technician,0.4232997081388322,MEDIUM,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10,,Upskill in Active Learning
11,Research & Development,Laboratory Technician,0.5003854932449051,MEDIUM,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7,,Upskill in Active Learning
12,Research & Development,Manufacturing Director,0.23701495739571218,LOW,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9,,Upskill in Active Learning
13,Research & Development,Healthcare Representative,0.14958042596262416,LOW,Sales Representatives of Services,,0,,No immediate recommendation
14,Research & Development,Laboratory Technician,0.29987915105999474,LOW,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10,,Upskill in Active Learning
15,Research & Development,Laboratory Technician,0.5955389562489048,MEDIUM,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8,,Upskill in Active Learning
16,Research & Development,Research Scientist,0.3881691508101158,MEDIUM,Biological Scientists,,0,,No immediate recommendation
18,Research & Development,Laboratory Technician,0.42065907717269896,MEDIUM,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science",6,,Upskill in Active Learning
