EmployeeNumber,JobRole,ONETRole,SkillGap,SkillGapCount
1,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9
2,Research Scientist,Biological Scientists,,0
4,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
5,Research Scientist,Biological Scientists,,0
7,Laboratory Technician,Biological Technicians,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",7
8,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
10,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
11,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7
12,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
13,Healthcare Representative,Sales Representatives of Services,,0
14,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
15,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8
16,Research Scientist,Biological Scientists,,0
18,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science",6
19,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8
20,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9
21,Research Scientist,Biological Scientists,,0
22,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
23,Manager,General and Operations Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",7
24,Research Scientist,Biological Scientists,,0
26,Manufacturing Director,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7
27,Sales Representative,Sales Representatives of Services,,0
28,Research Director,Natural Sciences Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",7
30,Research Scientist,Biological Scientists,,0
31,Research Scientist,Biological Scientists,,0
32,Manager,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
33,Research Scientist,Biological Scientists,,0
35,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
36,Healthcare Representative,Sales Representatives of Services,,0
38,Manager,General and Operations Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
39,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
40,Healthcare Representative,Sales Representatives of Services,,0
41,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
42,Sales Representative,Sales Representatives of Services,,0
45,Research Scientist,Biological Scientists,,0
46,Research Scientist,Biological Scientists,,0
47,Sales Representative,Sales Representatives of Services,,0
49,Sales Representative,Sales Representatives of Services,,0
51,Research Scientist,Biological Scientists,,0
52,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
53,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
54,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
55,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
56,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
57,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
58,Research Director,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8
60,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7
61,Research Scientist,Biological Scientists,,0
62,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7
63,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7
64,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
65,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
68,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
70,Healthcare Representative,Sales Representatives of Services,,0
72,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
73,Research Director,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
74,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
75,Laboratory Technician,Biological Technicians,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
76,Laboratory Technician,Biological Technicians,"Active Learning, Learning Strategies, Mathematics, Monitoring, Science, Speaking",6
77,Manufacturing Director,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
78,Manufacturing Director,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
79,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
80,Research Director,Natural Sciences Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
81,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Writing",7
83,Healthcare Representative,Sales Representatives of Services,,0
84,Manager,General and Operations Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
85,Manufacturing Director,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
86,Research Scientist,Biological Scientists,,0
88,Research Scientist,Biological Scientists,,0
90,Research Scientist,Biological Scientists,,0
91,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9
94,Research Scientist,Biological Scientists,,0
95,Research Scientist,Biological Scientists,,0
96,Research Scientist,Biological Scientists,,0
97,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8
98,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
100,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7
101,Research Director,Natural Sciences Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
102,Research Director,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8
103,Human Resources,Human Resources Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",7
104,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science",7
105,Research Scientist,Biological Scientists,,0
106,Sales Executive,Sales Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
107,Research Scientist,Biological Scientists,,0
110,Manufacturing Director,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
112,Manufacturing Director,Industrial Production Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
113,Sales Representative,Sales Representatives of Services,,0
116,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
117,Healthcare Representative,Sales Representatives of Services,,0
118,Sales Executive,Sales Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",7
119,Healthcare Representative,Sales Representatives of Services,,0
120,Sales Executive,Sales Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Science, Writing",6
121,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8
124,Healthcare Representative,Sales Representatives of Services,,0
