EmployeeNumber,CurrentSkill,Source
1,Systems Analysis,SYNTHETIC_MVP
1,Writing,SYNTHETIC_MVP
1,Data Analysis,SYNTHETIC_MVP
2,Time Management,SYNTHETIC_MVP
2,Active Listening,SYNTHETIC_MVP
2,Critical Thinking,SYNTHETIC_MVP
4,Systems Analysis,SYNTHETIC_MVP
4,Time Management,SYNTHETIC_MVP
4,Writing,SYNTHETIC_MVP
4,Systems Evaluation,SYNTHETIC_MVP
4,Active Listening,SYNTHETIC_MVP
5,Programming,SYNTHETIC_MVP
5,Systems Analysis,SYNTHETIC_MVP
5,Systems Evaluation,SYNTHETIC_MVP
7,Active Listening,SYNTHETIC_MVP
7,Speaking,SYNTHETIC_MVP
7,Critical Thinking,SYNTHETIC_MVP
7,Complex Problem Solving,SYNTHETIC_MVP
7,Time Management,SYNTHETIC_MVP
8,Systems Evaluation,SYNTHETIC_MVP
8,Project Management,SYNTHETIC_MVP
8,Writing,SYNTHETIC_MVP
8,Active Listening,SYNTHETIC_MVP
10,Data Analysis,SYNTHETIC_MVP
10,Programming,SYNTHETIC_MVP
10,Time Management,SYNTHETIC_MVP
10,Systems Evaluation,SYNTHETIC_MVP
11,Reading Comprehension,SYNTHETIC_MVP
11,Writing,SYNTHETIC_MVP
11,Systems Evaluation,SYNTHETIC_MVP
11,Active Listening,SYNTHETIC_MVP
12,Data Analysis,SYNTHETIC_MVP
12,Complex Problem Solving,SYNTHETIC_MVP
12,Systems Evaluation,SYNTHETIC_MVP
12,Speaking,SYNTHETIC_MVP
13,Project Management,SYNTHETIC_MVP
13,Active Listening,SYNTHETIC_MVP
13,Time Management,SYNTHETIC_MVP
13,Writing,SYNTHETIC_MVP
13,Systems Evaluation,SYNTHETIC_MVP
13,Complex Problem Solving,SYNTHETIC_MVP
14,Time Management,SYNTHETIC_MVP
14,Project Management,SYNTHETIC_MVP
14,Systems Evaluation,SYNTHETIC_MVP
15,Systems Evaluation,SYNTHETIC_MVP
15,Writing,SYNTHETIC_MVP
15,Speaking,SYNTHETIC_MVP
15,Systems Analysis,SYNTHETIC_MVP
15,Data Analysis,SYNTHETIC_MVP
15,Complex Problem Solving,SYNTHETIC_MVP
16,Programming,SYNTHETIC_MVP
16,Time Management,SYNTHETIC_MVP
16,Active Listening,SYNTHETIC_MVP
16,Systems Evaluation,SYNTHETIC_MVP
16,Reading Comprehension,SYNTHETIC_MVP
16,Systems Analysis,SYNTHETIC_MVP
18,Reading Comprehension,SYNTHETIC_MVP
18,Writing,SYNTHETIC_MVP
18,Active Listening,SYNTHETIC_MVP
18,Complex Problem Solving,SYNTHETIC_MVP
18,Speaking,SYNTHETIC_MVP
19,Complex Problem Solving,SYNTHETIC_MVP
19,Reading Comprehension,SYNTHETIC_MVP
19,Systems Analysis,SYNTHETIC_MVP
19,Programming,SYNTHETIC_MVP
19,Writing,SYNTHETIC_MVP
20,Complex Problem Solving,SYNTHETIC_MVP
20,Writing,SYNTHETIC_MVP
20,Systems Evaluation,SYNTHETIC_MVP
21,Complex Problem Solving,SYNTHETIC_MVP
21,Project Management,SYNTHETIC_MVP
21,Critical Thinking,SYNTHETIC_MVP
21,Programming,SYNTHETIC_MVP
22,Programming,SYNTHETIC_MVP
22,Critical Thinking,SYNTHETIC_MVP
22,Reading Comprehension,SYNTHETIC_MVP
23,Active Listening,SYNTHETIC_MVP
23,Critical Thinking,SYNTHETIC_MVP
23,Complex Problem Solving,SYNTHETIC_MVP
23,Writing,SYNTHETIC_MVP
23,Project Management,SYNTHETIC_MVP
23,Time Management,SYNTHETIC_MVP
24,Complex Problem Solving,SYNTHETIC_MVP
24,Active Listening,SYNTHETIC_MVP
24,Speaking,SYNTHETIC_MVP
24,Systems Analysis,SYNTHETIC_MVP
26,Data Analysis,SYNTHETIC_MVP
26,Speaking,SYNTHETIC_MVP
26,Systems Analysis,SYNTHETIC_MVP
26,Writing,SYNTHETIC_MVP
26,Active Listening,SYNTHETIC_MVP
26,Programming,SYNTHETIC_MVP
27,Speaking,SYNTHETIC_MVP
27,Critical Thinking,SYNTHETIC_MVP
27,Data Analysis,SYNTHETIC_MVP
27,Active Listening,SYNTHETIC_MVP
28,Critical Thinking,SYNTHETIC_MVP
28,Reading Comprehension,SYNTHETIC_MVP
28,Active Listening,SYNTHETIC_MVP
28,Complex Problem Solving,SYNTHETIC_MVP
28,Systems Evaluation,SYNTHETIC_MVP
30,Critical Thinking,SYNTHETIC_MVP
30,Speaking,SYNTHETIC_MVP
30,Time Management,SYNTHETIC_MVP
30,Programming,SYNTHETIC_MVP
31,Systems Evaluation,SYNTHETIC_MVP
31,Speaking,SYNTHETIC_MVP
31,Time Management,SYNTHETIC_MVP
31,Systems Analysis,SYNTHETIC_MVP
32,Active Listening,SYNTHETIC_MVP
32,Project Management,SYNTHETIC_MVP
32,Writing,SYNTHETIC_MVP
32,Systems Evaluation,SYNTHETIC_MVP
33,Programming,SYNTHETIC_MVP
33,Speaking,SYNTHETIC_MVP
33,Systems Analysis,SYNTHETIC_MVP
33,Reading Comprehension,SYNTHETIC_MVP
33,Active Listening,SYNTHETIC_MVP
33,Data Analysis,SYNTHETIC_MVP
35,Project Management,SYNTHETIC_MVP
35,Writing,SYNTHETIC_MVP
35,Active Listening,SYNTHETIC_MVP
35,Time Management,SYNTHETIC_MVP
36,Project Management,SYNTHETIC_MVP
36,Writing,SYNTHETIC_MVP
36,Reading Comprehension,SYNTHETIC_MVP
36,Critical Thinking,SYNTHETIC_MVP
36,Active Listening,SYNTHETIC_MVP
36,Time Management,SYNTHETIC_MVP
38,Critical Thinking,SYNTHETIC_MVP
38,Systems Evaluation,SYNTHETIC_MVP
38,Writing,SYNTHETIC_MVP
39,Systems Evaluation,SYNTHETIC_MVP
39,Data Analysis,SYNTHETIC_MVP
39,Complex Problem Solving,SYNTHETIC_MVP
39,Time Management,SYNTHETIC_MVP
39,Project Management,SYNTHETIC_MVP
39,Speaking,SYNTHETIC_MVP
40,Complex Problem Solving,SYNTHETIC_MVP
40,Systems Analysis,SYNTHETIC_MVP
40,Data Analysis,SYNTHETIC_MVP
40,Reading Comprehension,SYNTHETIC_MVP
41,Project Management,SYNTHETIC_MVP
41,Systems Evaluation,SYNTHETIC_MVP
41,Time Management,SYNTHETIC_MVP
41,Active Listening,SYNTHETIC_MVP
42,Systems Evaluation,SYNTHETIC_MVP
42,Data Analysis,SYNTHETIC_MVP
42,Complex Problem Solving,SYNTHETIC_MVP
42,Programming,SYNTHETIC_MVP
42,Speaking,SYNTHETIC_MVP
42,Critical Thinking,SYNTHETIC_MVP
45,Critical Thinking,SYNTHETIC_MVP
45,Project Management,SYNTHETIC_MVP
45,Active Listening,SYNTHETIC_MVP
45,Writing,SYNTHETIC_MVP
45,Complex Problem Solving,SYNTHETIC_MVP
46,Time Management,SYNTHETIC_MVP
46,Systems Evaluation,SYNTHETIC_MVP
46,Project Management,SYNTHETIC_MVP
47,Time Management,SYNTHETIC_MVP
47,Data Analysis,SYNTHETIC_MVP
47,Project Management,SYNTHETIC_MVP
47,Reading Comprehension,SYNTHETIC_MVP
49,Speaking,SYNTHETIC_MVP
49,Time Management,SYNTHETIC_MVP
49,Writing,SYNTHETIC_MVP
51,Complex Problem Solving,SYNTHETIC_MVP
51,Systems Analysis,SYNTHETIC_MVP
51,Programming,SYNTHETIC_MVP
51,Critical Thinking,SYNTHETIC_MVP
52,Critical Thinking,SYNTHETIC_MVP
52,Data Analysis,SYNTHETIC_MVP
52,Systems Evaluation,SYNTHETIC_MVP
52,Project Management,SYNTHETIC_MVP
52,Speaking,SYNTHETIC_MVP
53,Data Analysis,SYNTHETIC_MVP
53,Programming,SYNTHETIC_MVP
