O*NET-SOC Code,Title,Element Name,Data Value
11-1011.00,Chief Executives,Critical Thinking,4.38
11-1011.00,Chief Executives,Speaking,4.25
11-1011.00,Chief Executives,Reading Comprehension,4.12
11-1011.00,Chief Executives,Writing,4.12
11-1011.00,Chief Executives,Active Listening,4.0
11-1011.00,Chief Executives,Monitoring,4.0
11-1011.00,Chief Executives,Active Learning,3.75
11-1011.00,Chief Executives,Mathematics,3.25
11-1011.00,Chief Executives,Learning Strategies,3.12
11-1011.00,Chief Executives,Science,1.62
11-1011.03,Chief Sustainability Officers,Writing,4.12
11-1011.03,Chief Sustainability Officers,Critical Thinking,4.12
11-1011.03,Chief Sustainability Officers,Reading Comprehension,4.0
11-1011.03,Chief Sustainability Officers,Active Listening,4.0
11-1011.03,Chief Sustainability Officers,Speaking,4.0
11-1011.03,Chief Sustainability Officers,Active Learning,3.75
11-1011.03,Chief Sustainability Officers,Monitoring,3.75
11-1011.03,Chief Sustainability Officers,Learning Strategies,3.38
11-1011.03,Chief Sustainability Officers,Mathematics,2.88
11-1011.03,Chief Sustainability Officers,Science,2.12
11-1021.00,General and Operations Managers,Reading Comprehension,4.0
11-1021.00,General and Operations Managers,Active Listening,4.0
11-1021.00,General and Operations Managers,Speaking,4.0
11-1021.00,General and Operations Managers,Monitoring,4.0
11-1021.00,General and Operations Managers,Critical Thinking,3.88
11-1021.00,General and Operations Managers,Active Learning,3.62
11-1021.00,General and Operations Managers,Writing,3.5
11-1021.00,General and Operations Managers,Learning Strategies,3.0
11-1021.00,General and Operations Managers,Mathematics,2.62
11-1021.00,General and Operations Managers,Science,1.5
11-2011.00,Advertising and Promotions Managers,Active Listening,4.12
11-2011.00,Advertising and Promotions Managers,Speaking,4.12
11-2011.00,Advertising and Promotions Managers,Critical Thinking,3.88
11-2011.00,Advertising and Promotions Managers,Reading Comprehension,3.75
11-2011.00,Advertising and Promotions Managers,Writing,3.75
11-2011.00,Advertising and Promotions Managers,Monitoring,3.5
11-2011.00,Advertising and Promotions Managers,Active Learning,3.38
11-2011.00,Advertising and Promotions Managers,Learning Strategies,3.0
11-2011.00,Advertising and Promotions Managers,Mathematics,2.88
11-2011.00,Advertising and Promotions Managers,Science,1.5
11-2021.00,Marketing Managers,Active Listening,4.12
11-2021.00,Marketing Managers,Speaking,4.0
11-2021.00,Marketing Managers,Reading Comprehension,3.88
11-2021.00,Marketing Managers,Critical Thinking,3.88
11-2021.00,Marketing Managers,Active Learning,3.88
11-2021.00,Marketing Managers,Monitoring,3.88
11-2021.00,Marketing Managers,Writing,3.25
11-2021.00,Marketing Managers,Learning Strategies,3.25
11-2021.00,Marketing Managers,Mathematics,3.0
11-2021.00,Marketing Managers,Science,1.75
11-2022.00,Sales Managers,Active Listening,4.0
11-2022.00,Sales Managers,Speaking,4.0
11-2022.00,Sales Managers,Reading Comprehension,3.88
11-2022.00,Sales Managers,Critical Thinking,3.88
11-2022.00,Sales Managers,Monitoring,3.88
11-2022.00,Sales Managers,Active Learning,3.75
11-2022.00,Sales Managers,Writing,3.62
11-2022.00,Sales Managers,Learning Strategies,3.12
11-2022.00,Sales Managers,Mathematics,3.0
11-2022.00,Sales Managers,Science,1.62
11-2032.00,Public Relations Managers,Speaking,4.25
11-2032.00,Public Relations Managers,Reading Comprehension,4.12
11-2032.00,Public Relations Managers,Active Listening,4.12
11-2032.00,Public Relations Managers,Writing,4.0
11-2032.00,Public Relations Managers,Critical Thinking,3.88
11-2032.00,Public Relations Managers,Active Learning,3.62
11-2032.00,Public Relations Managers,Monitoring,3.5
11-2032.00,Public Relations Managers,Learning Strategies,3.0
11-2032.00,Public Relations Managers,Mathematics,2.38
11-2032.00,Public Relations Managers,Science,1.12
11-2033.00,Fundraising Managers,Speaking,4.12
11-2033.00,Fundraising Managers,Critical Thinking,4.12
11-2033.00,Fundraising Managers,Active Listening,4.0
11-2033.00,Fundraising Managers,Reading Comprehension,3.88
11-2033.00,Fundraising Managers,Writing,3.88
11-2033.00,Fundraising Managers,Active Learning,3.38
11-2033.00,Fundraising Managers,Monitoring,3.12
11-2033.00,Fundraising Managers,Mathematics,3.0
11-2033.00,Fundraising Managers,Learning Strategies,2.62
11-2033.00,Fundraising Managers,Science,1.25
11-3012.00,Administrative Services Managers,Reading Comprehension,4.0
11-3012.00,Administrative Services Managers,Active Listening,4.0
11-3012.00,Administrative Services Managers,Speaking,3.88
11-3012.00,Administrative Services Managers,Writing,3.75
11-3012.00,Administrative Services Managers,Critical Thinking,3.75
11-3012.00,Administrative Services Managers,Monitoring,3.38
11-3012.00,Administrative Services Managers,Active Learning,3.12
11-3012.00,Administrative Services Managers,Learning Strategies,3.0
11-3012.00,Administrative Services Managers,Mathematics,2.25
11-3012.00,Administrative Services Managers,Science,1.0
11-3013.00,Facilities Managers,Speaking,3.88
11-3013.00,Facilities Managers,Reading Comprehension,3.75
11-3013.00,Facilities Managers,Active Listening,3.75
11-3013.00,Facilities Managers,Critical Thinking,3.75
11-3013.00,Facilities Managers,Monitoring,3.75
11-3013.00,Facilities Managers,Writing,3.25
11-3013.00,Facilities Managers,Active Learning,3.12
11-3013.00,Facilities Managers,Learning Strategies,3.0
11-3013.00,Facilities Managers,Mathematics,2.75
11-3013.00,Facilities Managers,Science,1.5
11-3013.01,Security Managers,Critical Thinking,4.25
11-3013.01,Security Managers,Reading Comprehension,4.12
11-3013.01,Security Managers,Active Listening,4.12
11-3013.01,Security Managers,Speaking,4.0
11-3013.01,Security Managers,Monitoring,4.0
11-3013.01,Security Managers,Writing,3.75
11-3013.01,Security Managers,Active Learning,3.62
11-3013.01,Security Managers,Learning Strategies,3.38
11-3013.01,Security Managers,Mathematics,2.5
11-3013.01,Security Managers,Science,1.38
11-3021.00,Computer and Information Systems Managers,Critical Thinking,4.12
11-3021.00,Computer and Information Systems Managers,Reading Comprehension,4.0
11-3021.00,Computer and Information Systems Managers,Active Listening,4.0
11-3021.00,Computer and Information Systems Managers,Speaking,3.88
11-3021.00,Computer and Information Systems Managers,Monitoring,3.88
11-3021.00,Computer and Information Systems Managers,Writing,3.75
11-3021.00,Computer and Information Systems Managers,Active Learning,3.38
11-3021.00,Computer and Information Systems Managers,Learning Strategies,3.25
11-3021.00,Computer and Information Systems Managers,Mathematics,3.12
11-3021.00,Computer and Information Systems Managers,Science,1.75
11-3031.00,Financial Managers,Reading Comprehension,4.0
11-3031.00,Financial Managers,Active Listening,4.0
11-3031.00,Financial Managers,Speaking,4.0
11-3031.00,Financial Managers,Critical Thinking,4.0
11-3031.00,Financial Managers,Writing,3.75
11-3031.00,Financial Managers,Monitoring,3.75
11-3031.00,Financial Managers,Mathematics,3.5
11-3031.00,Financial Managers,Active Learning,3.5
11-3031.00,Financial Managers,Learning Strategies,3.0
11-3031.00,Financial Managers,Science,1.25
11-3031.01,Treasurers and Controllers,Reading Comprehension,4.0
11-3031.01,Treasurers and Controllers,Active Listening,4.0
11-3031.01,Treasurers and Controllers,Speaking,4.0
11-3031.01,Treasurers and Controllers,Mathematics,4.0
11-3031.01,Treasurers and Controllers,Critical Thinking,4.0
11-3031.01,Treasurers and Controllers,Active Learning,3.88
11-3031.01,Treasurers and Controllers,Monitoring,3.88
11-3031.01,Treasurers and Controllers,Writing,3.62
11-3031.01,Treasurers and Controllers,Learning Strategies,3.0
11-3031.01,Treasurers and Controllers,Science,1.0
11-3031.03,Investment Fund Managers,Reading Comprehension,4.0
11-3031.03,Investment Fund Managers,Active Listening,4.0
11-3031.03,Investment Fund Managers,Critical Thinking,4.0
11-3031.03,Investment Fund Managers,Speaking,3.88
11-3031.03,Investment Fund Managers,Active Learning,3.75
11-3031.03,Investment Fund Managers,Writing,3.62
11-3031.03,Investment Fund Managers,Monitoring,3.5
11-3031.03,Investment Fund Managers,Mathematics,3.38
11-3031.03,Investment Fund Managers,Learning Strategies,2.88
11-3031.03,Investment Fund Managers,Science,1.0
11-3051.00,Industrial Production Managers,Speaking,4.0
11-3051.00,Industrial Production Managers,Critical Thinking,4.0
11-3051.00,Industrial Production Managers,Monitoring,4.0
11-3051.00,Industrial Production Managers,Reading Comprehension,3.88
11-3051.00,Industrial Production Managers,Active Listening,3.88
11-3051.00,Industrial Production Managers,Learning Strategies,3.75
11-3051.00,Industrial Production Managers,Active Learning,3.62
11-3051.00,Industrial Production Managers,Writing,3.38
11-3051.00,Industrial Production Managers,Mathematics,3.38
11-3051.00,Industrial Production Managers,Science,1.62
11-3051.01,Quality Control Systems Managers,Reading Comprehension,4.0
11-3051.01,Quality Control Systems Managers,Active Listening,3.88
11-3051.01,Quality Control Systems Managers,Writing,3.88
11-3051.01,Quality Control Systems Managers,Speaking,3.88
11-3051.01,Quality Control Systems Managers,Monitoring,3.88
11-3051.01,Quality Control Systems Managers,Critical Thinking,3.75
11-3051.01,Quality Control Systems Managers,Active Learning,3.62
11-3051.01,Quality Control Systems Managers,Mathematics,3.12
11-3051.01,Quality Control Systems Managers,Learning Strategies,3.12
11-3051.01,Quality Control Systems Managers,Science,2.25
11-3051.02,Geothermal Production Managers,Critical Thinking,4.0
11-3051.02,Geothermal Production Managers,Reading Comprehension,3.88
11-3051.02,Geothermal Production Managers,Speaking,3.88
11-3051.02,Geothermal Production Managers,Monitoring,3.88
11-3051.02,Geothermal Production Managers,Active Listening,3.62
11-3051.02,Geothermal Production Managers,Writing,3.62
11-3051.02,Geothermal Production Managers,Active Learning,3.5
11-3051.02,Geothermal Production Managers,Mathematics,3.25
11-3051.02,Geothermal Production Managers,Learning Strategies,3.25
11-3051.02,Geothermal Production Managers,Science,2.38
11-3051.03,Biofuels Production Managers,Reading Comprehension,3.88
11-3051.03,Biofuels Production Managers,Critical Thinking,3.88
11-3051.03,Biofuels Production Managers,Active Listening,3.75
11-3051.03,Biofuels Production Managers,Monitoring,3.75
11-3051.03,Biofuels Production Managers,Speaking,3.62
11-3051.03,Biofuels Production Managers,Writing,3.5
11-3051.03,Biofuels Production Managers,Learning Strategies,3.38
11-3051.03,Biofuels Production Managers,Active Learning,3.25
11-3051.03,Biofuels Production Managers,Mathematics,3.0
11-3051.03,Biofuels Production Managers,Science,3.0
11-3051.04,Biomass Power Plant Managers,Speaking,4.0
11-3051.04,Biomass Power Plant Managers,Critical Thinking,4.0
11-3051.04,Biomass Power Plant Managers,Reading Comprehension,3.88
11-3051.04,Biomass Power Plant Managers,Active Listening,3.88
11-3051.04,Biomass Power Plant Managers,Monitoring,3.88
11-3051.04,Biomass Power Plant Managers,Writing,3.12
11-3051.04,Biomass Power Plant Managers,Active Learning,3.12
11-3051.04,Biomass Power Plant Managers,Mathematics,3.0
11-3051.04,Biomass Power Plant Managers,Learning Strategies,3.0
11-3051.04,Biomass Power Plant Managers,Science,2.5
11-3051.06,Hydroelectric Production Managers,Active Listening,4.12
11-3051.06,Hydroelectric Production Managers,Speaking,4.12
11-3051.06,Hydroelectric Production Managers,Reading Comprehension,3.88
11-3051.06,Hydroelectric Production Managers,Monitoring,3.88
11-3051.06,Hydroelectric Production Managers,Critical Thinking,3.75
11-3051.06,Hydroelectric Production Managers,Active Learning,3.62
11-3051.06,Hydroelectric Production Managers,Learning Strategies,3.62
11-3051.06,Hydroelectric Production Managers,Writing,3.5
11-3051.06,Hydroelectric Production Managers,Mathematics,3.25
11-3051.06,Hydroelectric Production Managers,Science,3.25
11-3061.00,Purchasing Managers,Active Listening,4.0
11-3061.00,Purchasing Managers,Speaking,4.0
11-3061.00,Purchasing Managers,Reading Comprehension,3.88
11-3061.00,Purchasing Managers,Writing,3.88
11-3061.00,Purchasing Managers,Monitoring,3.88
11-3061.00,Purchasing Managers,Critical Thinking,3.75
11-3061.00,Purchasing Managers,Active Learning,3.25
11-3061.00,Purchasing Managers,Mathematics,3.12
11-3061.00,Purchasing Managers,Learning Strategies,3.0
11-3061.00,Purchasing Managers,Science,1.0
11-3071.00,"Transportation, Storage, and Distribution Managers",Reading Comprehension,3.88
11-3071.00,"Transportation, Storage, and Distribution Managers",Active Listening,3.88
11-3071.00,"Transportation, Storage, and Distribution Managers",Monitoring,3.75
11-3071.00,"Transportation, Storage, and Distribution Managers",Writing,3.62
11-3071.00,"Transportation, Storage, and Distribution Managers",Speaking,3.62
11-3071.00,"Transportation, Storage, and Distribution Managers",Critical Thinking,3.62
11-3071.00,"Transportation, Storage, and Distribution Managers",Active Learning,3.62
11-3071.00,"Transportation, Storage, and Distribution Managers",Learning Strategies,3.38
11-3071.00,"Transportation, Storage, and Distribution Managers",Mathematics,2.75
11-3071.00,"Transportation, Storage, and Distribution Managers",Science,1.0
11-3071.04,Supply Chain Managers,Reading Comprehension,4.0
11-3071.04,Supply Chain Managers,Active Listening,4.0
11-3071.04,Supply Chain Managers,Speaking,4.0
11-3071.04,Supply Chain Managers,Monitoring,4.0
11-3071.04,Supply Chain Managers,Writing,3.88
11-3071.04,Supply Chain Managers,Critical Thinking,3.88
11-3071.04,Supply Chain Managers,Active Learning,3.75
11-3071.04,Supply Chain Managers,Mathematics,3.0
11-3071.04,Supply Chain Managers,Learning Strategies,3.0
11-3071.04,Supply Chain Managers,Science,1.12
11-3111.00,Compensation and Benefits Managers,Reading Comprehension,4.0
11-3111.00,Compensation and Benefits Managers,Active Listening,4.0
11-3111.00,Compensation and Benefits Managers,Writing,4.0
11-3111.00,Compensation and Benefits Managers,Speaking,4.0
11-3111.00,Compensation and Benefits Managers,Critical Thinking,3.88
11-3111.00,Compensation and Benefits Managers,Active Learning,3.75
11-3111.00,Compensation and Benefits Managers,Monitoring,3.38
11-3111.00,Compensation and Benefits Managers,Mathematics,3.0
11-3111.00,Compensation and Benefits Managers,Learning Strategies,3.0
11-3111.00,Compensation and Benefits Managers,Science,1.0
11-3121.00,Human Resources Managers,Active Listening,4.38
11-3121.00,Human Resources Managers,Reading Comprehension,4.25
11-3121.00,Human Resources Managers,Speaking,4.25
11-3121.00,Human Resources Managers,Writing,4.12
11-3121.00,Human Resources Managers,Critical Thinking,4.0
11-3121.00,Human Resources Managers,Active Learning,4.0
11-3121.00,Human Resources Managers,Monitoring,4.0
11-3121.00,Human Resources Managers,Learning Strategies,3.75
11-3121.00,Human Resources Managers,Mathematics,3.0
11-3121.00,Human Resources Managers,Science,1.5
11-3131.00,Training and Development Managers,Learning Strategies,4.25
11-3131.00,Training and Development Managers,Reading Comprehension,4.0
11-3131.00,Training and Development Managers,Active Listening,4.0
11-3131.00,Training and Development Managers,Speaking,4.0
11-3131.00,Training and Development Managers,Writing,3.88
11-3131.00,Training and Development Managers,Monitoring,3.88
11-3131.00,Training and Development Managers,Critical Thinking,3.75
11-3131.00,Training and Development Managers,Active Learning,3.75
11-3131.00,Training and Development Managers,Mathematics,2.88
11-3131.00,Training and Development Managers,Science,1.5
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Active Listening,3.88
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Critical Thinking,3.88
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Reading Comprehension,3.75
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Speaking,3.62
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Active Learning,3.38
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Monitoring,3.38
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Writing,3.25
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Mathematics,2.88
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Learning Strategies,2.88
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Science,2.62
11-9021.00,Construction Managers,Active Listening,4.0
11-9021.00,Construction Managers,Critical Thinking,4.0
11-9021.00,Construction Managers,Reading Comprehension,3.88
11-9021.00,Construction Managers,Speaking,3.88
11-9021.00,Construction Managers,Active Learning,3.88
11-9021.00,Construction Managers,Monitoring,3.88
11-9021.00,Construction Managers,Writing,3.75
11-9021.00,Construction Managers,Mathematics,3.5
11-9021.00,Construction Managers,Learning Strategies,3.12
11-9021.00,Construction Managers,Science,2.12
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Reading Comprehension,4.0
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Active Listening,4.0
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Speaking,4.0
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Critical Thinking,4.0
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Writing,3.88
