O*NET-SOC Code,Title,Workplace Example,Hot Technology,In Demand
11-1011.00,Chief Executives,Adobe Acrobat,Y,N
11-1011.00,Chief Executives,AdSense Tracker,N,N
11-1011.00,Chief Executives,Atlassian JIRA,Y,N
11-1011.00,Chief Executives,Blackbaud The Raiser's Edge,N,N
11-1011.00,Chief Executives,ComputerEase construction accounting software,N,N
11-1011.00,Chief Executives,Database reporting software,N,N
11-1011.00,Chief Executives,Databox,N,N
11-1011.00,Chief Executives,Email software,N,N
11-1011.00,Chief Executives,Exact Software Macola ES Labor Performance,N,N
11-1011.00,Chief Executives,Extensible markup language XML,Y,N
11-1011.00,Chief Executives,Fund accounting software,N,N
11-1011.00,Chief Executives,Graphic presentation software,N,N
11-1011.00,Chief Executives,Halogen e360,N,N
11-1011.00,Chief Executives,Halogen ePraisal,N,N
11-1011.00,Chief Executives,HCSS HeavyBid,N,N
11-1011.00,Chief Executives,HCSS HeavyJob,N,N
11-1011.00,Chief Executives,Human resource information system (HRIS),N,N
11-1011.00,Chief Executives,Infor SSA Human Capital Management,N,N
11-1011.00,Chief Executives,Intuit QuickBooks,Y,N
11-1011.00,Chief Executives,Listserv software,N,N
11-1011.00,Chief Executives,Lyris HQ Web-Analytics Solution,N,N
11-1011.00,Chief Executives,Mentimeter,N,N
11-1011.00,Chief Executives,Microsoft Access,Y,N
11-1011.00,Chief Executives,Microsoft Dynamics,N,N
11-1011.00,Chief Executives,Microsoft Dynamics AX,N,N
11-1011.00,Chief Executives,Microsoft Dynamics GP,N,N
11-1011.00,Chief Executives,Microsoft Excel,Y,Y
11-1011.00,Chief Executives,Microsoft FRx,N,N
11-1011.00,Chief Executives,Microsoft Office software,Y,Y
11-1011.00,Chief Executives,Microsoft Outlook,Y,Y
11-1011.00,Chief Executives,Microsoft PowerPoint,Y,Y
11-1011.00,Chief Executives,Microsoft Project,Y,N
11-1011.00,Chief Executives,Microsoft Publisher,N,N
11-1011.00,Chief Executives,Microsoft SharePoint,Y,N
11-1011.00,Chief Executives,Microsoft Word,Y,N
